Date,Open,High,Low,Close,Volume
2015-12-08,70085,70420,66573,67827,1471126
2015-12-09,67326,68329,67326,67326,543609
2015-12-10,67409,68664,66991,67409,804042
2015-12-11,66656,67326,65486,65736,727665
2015-12-14,64649,66322,63646,65402,601871
2015-12-15,66322,66656,65653,66322,471180
2015-12-16,67744,67911,66740,66991,600414
2015-12-17,67576,67911,66406,67158,472555
2015-12-18,66824,69751,66656,69667,908273
2015-12-21,70085,70253,69416,69667,571645
2015-12-22,69667,69667,68245,68831,820264
2015-12-23,68998,69333,67326,67326,888896
2015-12-24,66907,67493,65736,65820,1359426
2015-12-28,65151,65736,63813,64147,1762166
2015-12-29,68625,73016,68452,72327,2541934
2015-12-30,73188,73188,71638,72758,886192
2016-01-04,73274,78957,72585,76805,2256570
2016-01-05,76632,78871,76460,77752,1437362
2016-01-06,77924,79646,76718,78957,1742930
2016-01-07,81196,84984,78182,78957,3135451
2016-01-08,76977,83090,76891,83090,2585582
2016-01-11,84812,86534,83521,85415,3102067
2016-01-12,85759,86276,83521,84209,1757721
2016-01-13,84812,90495,84296,90495,2778431
2016-01-14,89204,93853,88773,89548,3165625
2016-01-15,90065,90065,85243,85415,2803130
2016-01-18,88256,100483,88084,100483,5016024
2016-01-19,99622,101775,97125,98417,3474046
2016-01-20,99967,103927,97728,100225,3676197
